gruppe;mannschaft;teamlower
a;Qatar;qatar katar
a;Ecuador;ecuador
a;Senegal;senegal
a;Niederlande;niederlande
b;England;england
b;Iran;iran
b;USA;usa
b;Amerika;amerika
b;United States;united states
b;Vereinigte Staaten;vereinigte Staaten
b;Wales;wales
c;Argentinien;argentinien
c;Saudi-Arabien;saudi-arabien
c;Mexiko;mexiko
c;Polen;polen
d;Frankreich;frankreich
d;Dänemark;dänemark
d;Tunesien;tunesien
d;Australien;australien
e;Spanien;spanien
e;Deutschland;deutschland
e;Japan;japan
e;Costa Rica;costa rica
f;Belgien;belgien
f;Kanada;kanada
f;Marokko;marokko
f;Kroatien;kroatien
g;Brasilien;brasilien
g;Serbien;serbien
g;Schweiz;schweiz
g;Kamerun;kamerun
h;Portugal;portugal
h;Ghana;ghana
h;Uruguay;uruguay
h;Südkorea;südkorea